date,product,category,region,quantity,price,revenue
2022-01-02,"Monitor 27""",Electronics,Makassar,1,3795311,3795311
2022-01-02,Webcam HD,Accessories,Yogyakarta,1,734158,734158
2022-01-02,Gaming Mouse,Accessories,Medan,1,469598,469598
2022-01-02,Wireless Headphones,Accessories,Semarang,1,1363568,1363568
2022-01-02,Laptop Gaming,Electronics,Jakarta,2,14475990,28951980
2022-01-02,Laptop Gaming,Electronics,Yogyakarta,1,14666031,14666031
2022-01-02,Laptop Office,Electronics,Medan,1,7634158,7634158
2022-01-02,Smartphone Pro,Electronics,Surabaya,1,12788970,12788970
2022-01-02,Power Bank,Accessories,Yogyakarta,4,388540,1554160
2022-01-02,Power Bank,Accessories,Makassar,2,382474,764948
2022-01-02,Power Bank,Accessories,Yogyakarta,1,403415,403415
2022-01-02,Power Bank,Accessories,Medan,1,371273,371273
2022-01-02,Smartphone Lite,Electronics,Surabaya,3,4241757,12725271
2022-01-02,Gaming Mouse,Accessories,Yogyakarta,1,457455,457455
2022-01-02,RAM 16GB,Components,Semarang,1,1316852,1316852
2022-01-02,RAM 16GB,Components,Surabaya,2,1265338,2530676
2022-01-02,Smartphone Lite,Electronics,Makassar,1,3758972,3758972
2022-01-02,External SSD 1TB,Storage,Jakarta,2,1621987,3243974
2022-01-02,Laptop Gaming,Electronics,Yogyakarta,2,15946384,31892768
2022-01-02,"Monitor 27""",Electronics,Jakarta,1,3644800,3644800
2022-01-02,Power Bank,Accessories,Semarang,1,418320,418320
2022-01-02,Power Bank,Accessories,Makassar,1,421701,421701
2022-01-02,Smartphone Lite,Electronics,Jakarta,2,3659235,7318470
2022-01-02,Gaming Mouse,Accessories,Bandung,2,485846,971692
2022-01-02,Smart Watch,Electronics,Bandung,1,2307934,2307934
2022-01-02,Smartphone Lite,Electronics,Semarang,1,4290482,4290482
2022-01-02,"Tablet 10""",Electronics,Jakarta,1,5123298,5123298
2022-01-02,Laptop Gaming,Electronics,Jakarta,1,14492694,14492694
2022-01-02,Laptop Office,Electronics,Surabaya,2,7301693,14603386
2022-01-02,Smart Watch,Electronics,Surabaya,1,2405491,2405491
2022-01-02,Wireless Headphones,Accessories,Makassar,1,1447554,1447554
2022-01-02,External SSD 1TB,Storage,Yogyakarta,1,1882658,1882658
2022-01-02,USB Hub,Accessories,Makassar,2,308253,616506
2022-01-02,"Tablet 10""",Electronics,Surabaya,4,5387212,21548848
2022-01-02,"Tablet 10""",Electronics,Makassar,1,4972214,4972214
2022-01-02,Smartphone Pro,Electronics,Semarang,1,11087026,11087026
2022-01-02,Wireless Headphones,Accessories,Bandung,1,1563973,1563973
2022-01-02,"Monitor 27""",Electronics,Yogyakarta,1,3682549,3682549
2022-01-02,Laptop Gaming,Electronics,Bandung,1,15183831,15183831
2022-01-02,Laptop Gaming,Electronics,Semarang,1,15812901,15812901
2022-01-02,"Tablet 10""",Electronics,Semarang,1,4993795,4993795
2022-01-02,Gaming Mouse,Accessories,Semarang,2,502273,1004546
2022-01-02,Smart Watch,Electronics,Bandung,1,2463770,2463770
2022-01-02,Webcam HD,Accessories,Jakarta,2,724067,1448134
2022-01-03,"Tablet 10""",Electronics,Yogyakarta,1,4531429,4531429
2022-01-03,Laptop Gaming,Electronics,Surabaya,3,15409231,46227693
2022-01-03,USB Hub,Accessories,Yogyakarta,1,288861,288861
2022-01-03,Gaming Mouse,Accessories,Surabaya,5,500857,2504285
2022-01-03,Power Bank,Accessories,Surabaya,1,432605,432605
2022-01-03,Smart Watch,Electronics,Bandung,1,2374646,2374646
2022-01-03,RAM 16GB,Components,Yogyakarta,4,1178491,4713964
2022-01-03,External SSD 1TB,Storage,Yogyakarta,3,1891998,5675994
2022-01-03,External SSD 1TB,Storage,Yogyakarta,1,1702367,1702367
2022-01-03,Mechanical Keyboard,Accessories,Medan,1,1098475,1098475
2022-01-03,Wireless Headphones,Accessories,Surabaya,1,1436925,1436925
2022-01-03,Smartphone Lite,Electronics,Bandung,1,3728977,3728977
2022-01-03,"Tablet 10""",Electronics,Bandung,3,5429697,16289091
2022-01-03,Wireless Headphones,Accessories,Yogyakarta,2,1592436,3184872
2022-01-03,"Monitor 27""",Electronics,Bandung,1,3593382,3593382
2022-01-03,Smartphone Pro,Electronics,Jakarta,2,12891505,25783010
2022-01-03,Laptop Office,Electronics,Yogyakarta,2,8485875,16971750
2022-01-03,Wireless Headphones,Accessories,Jakarta,1,1405971,1405971
2022-01-03,Gaming Mouse,Accessories,Jakarta,3,539255,1617765
2022-01-03,External SSD 1TB,Storage,Yogyakarta,1,1814163,1814163
2022-01-03,"Monitor 27""",Electronics,Semarang,2,3715208,7430416
2022-01-03,USB Hub,Accessories,Semarang,1,323765,323765
2022-01-03,Smart Watch,Electronics,Yogyakarta,1,2409001,2409001
2022-01-03,Laptop Office,Electronics,Bandung,2,7376083,14752166
2022-01-03,USB Hub,Accessories,Bandung,1,283676,283676
2022-01-04,"Monitor 27""",Electronics,Medan,1,3722610,3722610
2022-01-04,USB Hub,Accessories,Makassar,2,321643,643286
2022-01-04,"Tablet 10""",Electronics,Bandung,1,4506952,4506952
2022-01-04,"Tablet 10""",Electronics,Makassar,1,5010747,5010747
2022-01-04,USB Hub,Accessories,Semarang,1,295044,295044
2022-01-04,Smartphone Lite,Electronics,Yogyakarta,2,3777686,7555372
2022-01-04,External SSD 1TB,Storage,Makassar,1,1663151,1663151
2022-01-04,USB Hub,Accessories,Yogyakarta,2,290256,580512
2022-01-04,RAM 16GB,Components,Yogyakarta,1,1306298,1306298
2022-01-04,Smartphone Lite,Electronics,Medan,1,3858562,3858562
2022-01-04,Webcam HD,Accessories,Medan,3,803006,2409018
2022-01-04,Smart Watch,Electronics,Semarang,2,2601509,5203018
2022-01-04,Gaming Mouse,Accessories,Semarang,1,486362,486362
2022-01-04,External SSD 1TB,Storage,Yogyakarta,1,1969841,1969841
2022-01-04,Smart Watch,Electronics,Surabaya,1,2731223,2731223
2022-01-04,RAM 16GB,Components,Jakarta,4,1140427,4561708
2022-01-04,"Monitor 27""",Electronics,Medan,1,3498073,3498073
2022-01-04,Smartphone Pro,Electronics,Makassar,3,11522107,34566321
2022-01-04,Webcam HD,Accessories,Medan,1,765574,765574
2022-01-04,Webcam HD,Accessories,Medan,3,725901,2177703
2022-01-04,Power Bank,Accessories,Surabaya,4,408765,1635060
2022-01-04,External SSD 1TB,Storage,Yogyakarta,3,1800964,5402892
2022-01-04,Smartphone Lite,Electronics,Yogyakarta,3,3641183,10923549
2022-01-04,"Monitor 27""",Electronics,Medan,1,3345052,3345052
2022-01-04,Laptop Office,Electronics,Bandung,2,8653225,17306450
2022-01-04,Wireless Headphones,Accessories,Surabaya,3,1421868,4265604
2022-01-04,Smartphone Lite,Electronics,Surabaya,1,3715915,3715915
2022-01-04,Laptop Office,Electronics,Medan,1,7983124,7983124
2022-01-04,Gaming Mouse,Accessories,Medan,1,548565,548565
2022-01-05,Smart Watch,Electronics,Jakarta,3,2586067,7758201
2022-01-05,Power Bank,Accessories,Medan,3,420929,1262787
2022-01-05,Laptop Gaming,Electronics,Medan,4,14212912,56851648
2022-01-05,Power Bank,Accessories,Makassar,3,418257,1254771
2022-01-05,External SSD 1TB,Storage,Surabaya,2,1752401,3504802
2022-01-05,Mechanical Keyboard,Accessories,Jakarta,1,1231753,1231753
2022-01-05,Gaming Mouse,Accessories,Medan,1,513352,513352
2022-01-05,External SSD 1TB,Storage,Surabaya,1,1812878,1812878
2022-01-05,Webcam HD,Accessories,Makassar,2,734446,1468892
2022-01-05,Webcam HD,Accessories,Medan,2,853648,1707296
2022-01-05,Smartphone Pro,Electronics,Bandung,3,11569872,34709616
2022-01-05,Gaming Mouse,Accessories,Bandung,1,468651,468651
2022-01-05,RAM 16GB,Components,Yogyakarta,3,1089786,3269358
2022-01-05,Gaming Mouse,Accessories,Jakarta,1,509089,509089
2022-01-05,External SSD 1TB,Storage,Bandung,2,1863923,3727846
2022-01-05,Smartphone Lite,Electronics,Semarang,2,3613270,7226540
2022-01-05,Laptop Gaming,Electronics,Surabaya,3,15036279,45108837
2022-01-05,Power Bank,Accessories,Surabaya,1,378119,378119
2022-01-05,Mechanical Keyboard,Accessories,Surabaya,2,1234841,2469682
2022-01-05,Mechanical Keyboard,Accessories,Surabaya,2,1121847,2243694
2022-01-05,Webcam HD,Accessories,Jakarta,2,830550,1661100
2022-01-05,RAM 16GB,Components,Jakarta,3,1172816,3518448
2022-01-05,Webcam HD,Accessories,Semarang,1,869876,869876
2022-01-05,Smart Watch,Electronics,Semarang,4,2318760,9275040
2022-01-05,Smartphone Lite,Electronics,Semarang,1,3872853,3872853
2022-01-05,Smartphone Lite,Electronics,Yogyakarta,1,3690778,3690778
2022-01-06,USB Hub,Accessories,Makassar,2,322640,645280
2022-01-06,RAM 16GB,Components,Semarang,1,1141905,1141905
2022-01-06,Wireless Headphones,Accessories,Jakarta,1,1547995,1547995
2022-01-06,Power Bank,Accessories,Medan,1,425377,425377
2022-01-06,Wireless Headphones,Accessories,Semarang,2,1516560,3033120
2022-01-06,Smartphone Pro,Electronics,Semarang,1,12071161,12071161
2022-01-06,"Tablet 10""",Electronics,Yogyakarta,2,4741852,9483704
2022-01-06,Mechanical Keyboard,Accessories,Makassar,1,1102344,1102344
2022-01-06,"Tablet 10""",Electronics,Jakarta,1,5397215,5397215
2022-01-06,"Tablet 10""",Electronics,Medan,3,5400418,16201254
2022-01-06,Webcam HD,Accessories,Jakarta,2,821296,1642592
2022-01-06,Mechanical Keyboard,Accessories,Surabaya,3,1161367,3484101
2022-01-06,Wireless Headphones,Accessories,Makassar,3,1454762,4364286
2022-01-06,External SSD 1TB,Storage,Makassar,3,1881344,5644032
2022-01-06,Smartphone Lite,Electronics,Medan,1,4317688,4317688
2022-01-06,"Monitor 27""",Electronics,Semarang,3,3770960,11312880
2022-01-06,External SSD 1TB,Storage,Jakarta,1,1900755,1900755
2022-01-06,"Tablet 10""",Electronics,Bandung,1,5142031,5142031
2022-01-06,USB Hub,Accessories,Makassar,2,275048,550096
2022-01-06,Wireless Headphones,Accessories,Bandung,1,1398488,1398488
2022-01-06,Wireless Headphones,Accessories,Bandung,2,1619566,3239132
2022-01-06,Smartphone Lite,Electronics,Jakarta,1,4085143,4085143
2022-01-06,External SSD 1TB,Storage,Surabaya,2,1623310,3246620
2022-01-06,Smartphone Lite,Electronics,Semarang,1,3681177,3681177
2022-01-06,Webcam HD,Accessories,Bandung,5,826160,4130800
2022-01-06,Laptop Office,Electronics,Bandung,3,7208098,21624294
2022-01-06,Smartphone Pro,Electronics,Surabaya,1,11185939,11185939
2022-01-06,"Tablet 10""",Electronics,Bandung,1,5048733,5048733
2022-01-06,External SSD 1TB,Storage,Yogyakarta,4,1869082,7476328
2022-01-06,Mechanical Keyboard,Accessories,Bandung,1,1236470,3064855
2022-01-06,Smartphone Pro,Electronics,Yogyakarta,4,11338246,45352984
2022-01-06,Mechanical Keyboard,Accessories,Medan,1,1250923,1250923
2022-01-06,Laptop Office,Electronics,Surabaya,2,7579598,15159196
2022-01-06,Smartphone Pro,Electronics,Jakarta,3,11580959,34742877
2022-01-06,Smartphone Lite,Electronics,Makassar,1,4197193,4197193
2022-01-07,Webcam HD,Accessories,Makassar,3,855875,2567625
2022-01-07,Gaming Mouse,Accessories,Yogyakarta,1,515761,515761
2022-01-07,Webcam HD,Accessories,Makassar,5,810929,4054645
2022-01-07,Laptop Gaming,Electronics,Yogyakarta,2,13781024,27562048
2022-01-07,Smartphone Lite,Electronics,Jakarta,2,3894172,7788344
2022-01-07,Smartphone Pro,Electronics,Surabaya,1,11436485,11436485
2022-01-07,Laptop Gaming,Electronics,Medan,1,14231968,14231968
2022-01-07,"Tablet 10""",Electronics,Bandung,1,5473010,5473010
2022-01-07,External SSD 1TB,Storage,Surabaya,3,1761515,5284545
2022-01-07,Smart Watch,Electronics,Makassar,1,2696023,2696023
2022-01-07,USB Hub,Accessories,Jakarta,3,307868,923604
2022-01-07,"Monitor 27""",Electronics,Bandung,1,3706367,3706367
2022-01-07,Power Bank,Accessories,Yogyakarta,1,400210,400210
2022-01-07,"Tablet 10""",Electronics,Bandung,2,5076903,10153806
2022-01-07,Mechanical Keyboard,Accessories,Semarang,1,1198204,1198204
2022-01-07,Gaming Mouse,Accessories,Medan,4,469524,1878096
2022-01-07,Mechanical Keyboard,Accessories,Medan,1,1253388,1253388
2022-01-07,External SSD 1TB,Storage,Jakarta,1,1721078,1721078
2022-01-07,Smartphone Lite,Electronics,Makassar,4,3619452,14477808
2022-01-07,Webcam HD,Accessories,Semarang,4,823275,3293100
2022-01-07,Power Bank,Accessories,Yogyakarta,1,374168,374168
2022-01-07,Smartphone Pro,Electronics,Bandung,1,13057100,13057100
2022-01-07,Smartphone Pro,Electronics,Yogyakarta,5,13089428,65447140
2022-01-07,Mechanical Keyboard,Accessories,Medan,4,1299567,5198268
2022-01-07,Wireless Headphones,Accessories,Surabaya,1,1461047,1461047
2022-01-07,Wireless Headphones,Accessories,Semarang,1,1354636,1354636
2022-01-07,Gaming Mouse,Accessories,Medan,3,542831,1628493
2022-01-07,Laptop Office,Electronics,Yogyakarta,1,7885094,7885094
2022-01-07,Gaming Mouse,Accessories,Jakarta,3,546665,1639995
2022-01-07,USB Hub,Accessories,Jakarta,3,327817,983451
2022-01-07,Smartphone Lite,Electronics,Medan,2,4282407,8564814
2022-01-08,USB Hub,Accessories,Bandung,1,293105,293105
2022-01-08,"Monitor 27""",Electronics,Semarang,1,3745795,3745795
2022-01-08,Mechanical Keyboard,Accessories,Makassar,1,1156061,1156061
2022-01-08,RAM 16GB,Components,Makassar,1,1120678,1120678
2022-01-08,Laptop Gaming,Electronics,Yogyakarta,2,15170403,30340806
2022-01-08,Smart Watch,Electronics,Semarang,1,2718077,2718077
2022-01-08,Power Bank,Accessories,Bandung,1,415682,415682
2022-01-08,"Monitor 27""",Electronics,Medan,2,3549042,7098084
2022-01-08,Mechanical Keyboard,Accessories,Medan,1,1103322,1103322
2022-01-08,Smartphone Lite,Electronics,Surabaya,4,4092005,16368020
2022-01-08,Power Bank,Accessories,Yogyakarta,1,439204,439204
2022-01-08,Gaming Mouse,Accessories,Bandung,1,464008,464008
2022-01-08,Power Bank,Accessories,Yogyakarta,1,401466,401466
2022-01-08,Webcam HD,Accessories,Yogyakarta,2,860379,1720758
2022-01-08,Smartphone Pro,Electronics,Bandung,1,12577844,12577844
2022-01-08,"Monitor 27""",Electronics,Bandung,3,3637911,10913733
2022-01-08,Power Bank,Accessories,Makassar,1,416198,416198
2022-01-08,Gaming Mouse,Accessories,Jakarta,1,485949,485949
2022-01-08,Wireless Headphones,Accessories,Yogyakarta,2,1438077,2876154
2022-01-08,Gaming Mouse,Accessories,Yogyakarta,1,530936,530936
2022-01-08,USB Hub,Accessories,Jakarta,5,318606,1593030
2022-01-08,Smartphone Pro,Electronics,Yogyakarta,2,12880973,25761946
2022-01-08,Laptop Office,Electronics,Makassar,3,8661184,25983552
2022-01-08,Smart Watch,Electronics,Medan,1,2505671,2505671
2022-01-08,Power Bank,Accessories,Medan,2,400121,800242
2022-01-08,RAM 16GB,Components,Semarang,4,1271590,5086360
2022-01-08,Gaming Mouse,Accessories,Yogyakarta,2,514996,1029992
2022-01-08,USB Hub,Accessories,Bandung,3,312118,936354
2022-01-08,USB Hub,Accessories,Yogyakarta,2,317747,635494
2022-01-08,"Monitor 27""",Electronics,Semarang,1,3773003,3773003
2022-01-08,USB Hub,Accessories,Semarang,4,290279,1161116
2022-01-08,Laptop Office,Electronics,Semarang,1,7800932,7800932
2022-01-08,External SSD 1TB,Storage,Semarang,3,1653833,4961499
2022-01-08,"Tablet 10""",Electronics,Yogyakarta,4,5078280,20313120
2022-01-08,Laptop Gaming,Electronics,Surabaya,1,13607826,13607826
2022-01-08,Smartphone Lite,Electronics,Yogyakarta,2,3972478,7944956
2022-01-08,Smartphone Pro,Electronics,Yogyakarta,1,12102347,12102347
2022-01-08,Gaming Mouse,Accessories,Makassar,2,478654,957308
2022-01-08,Smartphone Pro,Electronics,Medan,1,12217999,12217999
2022-01-08,"Tablet 10""",Electronics,Medan,2,4530500,9061000
2022-01-08,Smart Watch,Electronics,Jakarta,1,2268674,2268674
2022-01-08,Mechanical Keyboard,Accessories,Bandung,4,1277424,5109696
2022-01-08,USB Hub,Accessories,Medan,4,291611,1166444
2022-01-08,Power Bank,Accessories,Yogyakarta,1,370164,370164
2022-01-08,Mechanical Keyboard,Accessories,Bandung,1,1205338,1205338
2022-01-08,Webcam HD,Accessories,Jakarta,1,843198,843198
2022-01-09,Power Bank,Accessories,Makassar,2,409831,819662
2022-01-09,Power Bank,Accessories,Jakarta,2,366827,733654
2022-01-09,Smart Watch,Electronics,Bandung,2,2275840,4551680
2022-01-09,RAM 16GB,Components,Bandung,3,1207525,3622575
2022-01-09,Smartphone Lite,Electronics,Semarang,2,4032508,8065016
2022-01-09,RAM 16GB,Components,Yogyakarta,2,1232983,2465966
2022-01-09,Smartphone Pro,Electronics,Semarang,2,12542619,25085238
2022-01-09,Laptop Gaming,Electronics,Makassar,1,16427556,16427556
2022-01-09,Wireless Headphones,Accessories,Bandung,2,1504890,3009780
2022-01-09,Wireless Headphones,Accessories,Surabaya,2,1446886,2893772
2022-01-09,RAM 16GB,Components,Makassar,2,1270844,2541688
2022-01-09,"Monitor 27""",Electronics,Bandung,4,3339582,13358328
2022-01-09,Smart Watch,Electronics,Yogyakarta,3,2469485,7408455
2022-01-09,"Tablet 10""",Electronics,Jakarta,2,4578456,9156912
2022-01-09,Mechanical Keyboard,Accessories,Surabaya,4,1086084,4344336
2022-01-09,Power Bank,Accessories,Medan,2,437011,874022
2022-01-09,Power Bank,Accessories,Yogyakarta,3,426878,1280634
2022-01-09,Gaming Mouse,Accessories,Medan,1,519597,519597
2022-01-09,Wireless Headphones,Accessories,Makassar,2,1472685,2945370
2022-01-09,Gaming Mouse,Accessories,Jakarta,3,467329,1401987
2022-01-09,USB Hub,Accessories,Makassar,1,279386,279386
2022-01-09,Wireless Headphones,Accessories,Jakarta,4,1425072,5700288
2022-01-09,USB Hub,Accessories,Bandung,3,302953,908859
2022-01-09,USB Hub,Accessories,Jakarta,1,312875,312875
2022-01-09,"Tablet 10""",Electronics,Surabaya,5,5160197,25800985
2022-01-09,Smart Watch,Electronics,Bandung,2,2389966,4779932
2022-01-09,USB Hub,Accessories,Makassar,4,327291,1309164
2022-01-09,Gaming Mouse,Accessories,Medan,2,523789,1047578
2022-01-09,USB Hub,Accessories,Medan,1,303261,303261
2022-01-09,"Tablet 10""",Electronics,Medan,1,5111720,5111720
2022-01-09,Mechanical Keyboard,Accessories,Jakarta,4,1180704,4722816
2022-01-09,USB Hub,Accessories,Semarang,1,284863,284863
2022-01-09,Wireless Headphones,Accessories,Jakarta,1,1456791,1456791
2022-01-09,Power Bank,Accessories,Surabaya,3,420627,1261881
2022-01-09,USB Hub,Accessories,Jakarta,2,270863,541726
2022-01-09,RAM 16GB,Components,Yogyakarta,1,1107857,1107857
2022-01-09,Webcam HD,Accessories,Makassar,1,727360,727360
2022-01-09,Smartphone Lite,Electronics,Surabaya,2,3632583,7265166
2022-01-09,Wireless Headphones,Accessories,Makassar,3,1606638,4819914
2022-01-09,Laptop Gaming,Electronics,Surabaya,1,15610973,15610973
2022-01-09,"Monitor 27""",Electronics,Semarang,1,3481921,3481921
2022-01-09,Power Bank,Accessories,Bandung,1,367826,127851
2022-01-09,Laptop Gaming,Electronics,Semarang,1,14974847,14974847
2022-01-09,Gaming Mouse,Accessories,Medan,2,497347,994694
2022-01-10,Mechanical Keyboard,Accessories,Jakarta,3,1184124,3552372
2022-01-10,Mechanical Keyboard,Accessories,Jakarta,2,1175641,2351282
2022-01-10,External SSD 1TB,Storage,Makassar,3,1841706,5525118
2022-01-10,"Tablet 10""",Electronics,Jakarta,1,5135093,5135093
2022-01-10,Mechanical Keyboard,Accessories,Jakarta,3,1090872,3272616
2022-01-10,Mechanical Keyboard,Accessories,Jakarta,2,1169907,2339814
2022-01-10,Wireless Headphones,Accessories,Bandung,2,1537757,3075514
2022-01-10,Webcam HD,Accessories,Bandung,2,800501,1601002
2022-01-10,Gaming Mouse,Accessories,Medan,5,535648,2678240
2022-01-10,"Monitor 27""",Electronics,Semarang,2,3611085,7222170
2022-01-10,Laptop Office,Electronics,Yogyakarta,3,7460695,22382085
2022-01-10,"Monitor 27""",Electronics,Medan,2,3199398,6398796
2022-01-10,Smart Watch,Electronics,Medan,1,2571209,2571209
2022-01-10,Gaming Mouse,Accessories,Medan,1,452651,452651
2022-01-10,Wireless Headphones,Accessories,Surabaya,2,1525732,3051464
2022-01-10,USB Hub,Accessories,Yogyakarta,4,326413,1305652
2022-01-10,Laptop Office,Electronics,Semarang,1,8120758,8120758
2022-01-10,Wireless Headphones,Accessories,Makassar,3,1466450,4399350
2022-01-10,"Monitor 27""",Electronics,Medan,2,3600301,7200602
2022-01-10,Wireless Headphones,Accessories,Medan,3,1487475,4462425
2022-01-10,Power Bank,Accessories,Bandung,4,403649,1614596
2022-01-10,Webcam HD,Accessories,Makassar,1,870634,870634
2022-01-10,Smartphone Lite,Electronics,Yogyakarta,1,3908882,3908882
2022-01-10,Laptop Office,Electronics,Jakarta,1,8737904,8737904
2022-01-10,RAM 16GB,Components,Medan,1,1297284,1297284
2022-01-10,Power Bank,Accessories,Makassar,2,375663,751326
2022-01-11,Webcam HD,Accessories,Makassar,2,736124,1472248
2022-01-11,Smart Watch,Electronics,Jakarta,2,2259110,4518220
2022-01-11,Smartphone Pro,Electronics,Bandung,1,11026663,11026663
2022-01-11,Wireless Headphones,Accessories,Makassar,1,1554902,1554902
2022-01-11,USB Hub,Accessories,Semarang,1,274271,274271
2022-01-11,Laptop Gaming,Electronics,Medan,1,14456926,14456926
2022-01-11,Gaming Mouse,Accessories,Bandung,1,534487,534487
2022-01-11,External SSD 1TB,Storage,Makassar,1,1628377,1628377
2022-01-11,Laptop Office,Electronics,Yogyakarta,3,8503149,25509447
2022-01-11,Webcam HD,Accessories,Medan,1,765096,765096
2022-01-11,USB Hub,Accessories,Medan,1,277089,277089
2022-01-11,"Tablet 10""",Electronics,Bandung,1,5196737,5196737
2022-01-11,Gaming Mouse,Accessories,Makassar,1,512894,512894
2022-01-11,Mechanical Keyboard,Accessories,Surabaya,2,1290593,2581186
2022-01-11,Gaming Mouse,Accessories,Surabaya,5,523507,2617535
2022-01-11,"Tablet 10""",Electronics,Yogyakarta,4,5303480,21213920
2022-01-11,"Tablet 10""",Electronics,Medan,1,4782034,4782034
2022-01-11,External SSD 1TB,Storage,Makassar,1,1683878,1683878
2022-01-11,External SSD 1TB,Storage,Semarang,1,1890221,1890221
2022-01-11,RAM 16GB,Components,Semarang,1,1273640,1273640
2022-01-11,Laptop Gaming,Electronics,Jakarta,1,16471515,16471515
2022-01-11,Power Bank,Accessories,Medan,1,393009,393009
2022-01-11,External SSD 1TB,Storage,Medan,2,1753926,3507852
2022-01-11,Laptop Gaming,Electronics,Makassar,4,15829238,63316952
2022-01-12,Mechanical Keyboard,Accessories,Jakarta,3,1303381,3910143
2022-01-12,Gaming Mouse,Accessories,Makassar,3,535841,1607523
2022-01-12,Gaming Mouse,Accessories,Bandung,2,492899,985798
2022-01-12,External SSD 1TB,Storage,Surabaya,1,1890313,1890313
2022-01-12,Laptop Office,Electronics,Makassar,2,8407268,16814536
2022-01-12,Smartphone Lite,Electronics,Semarang,4,3682499,14729996
2022-01-12,Power Bank,Accessories,Jakarta,2,432204,864408
2022-01-12,Smartphone Pro,Electronics,Surabaya,1,12012605,12012605
2022-01-12,RAM 16GB,Components,Yogyakarta,3,1278349,3835047
2022-01-12,USB Hub,Accessories,Yogyakarta,1,289202,289202
2022-01-12,Webcam HD,Accessories,Makassar,1,863283,863283
2022-01-12,USB Hub,Accessories,Yogyakarta,2,293352,586704
2022-01-12,USB Hub,Accessories,Medan,1,270650,270650
